Date,Time,Latitude,Longitude,Altitude,Speed,Course,Type,Distance,Essential
8/15/2013,20:01:59,21.573956,-158.276489,99.2,0,0,-2,0,1
8/15/2013,20:05:33,21.574306,-158.276245,-4.37,9144,146,0,46.38,1
8/15/2013,20:09:26,21.57412,-158.276413,38.35,1584,291,0,27.01,1
8/15/2013,20:12:32,21.57435,-158.276184,-6.62,0,60,0,34.85,1
8/15/2013,20:15:38,21.574368,-158.276016,-24.37,0,333,0,17.49,1
8/15/2013,20:18:43,21.574055,-158.276459,-50.77,0,80,0,57.53,1
8/15/2013,20:21:49,21.573895,-158.276169,51.09,1908,113,0,34.87,1
8/15/2013,20:24:54,21.573759,-158.276215,70.44,0,228,0,15.85,1
8/15/2013,20:27:59,21.573652,-158.276169,74.94,0,279,0,12.81,1
8/15/2013,20:31:05,21.573187,-158.276642,154.86,0,280,0,71.17,1
8/15/2013,20:34:14,21.574007,-158.276047,37.99,1080,191,0,110,1
8/15/2013,20:37:23,21.574064,-158.276306,37.83,216,92,0,27.52,1
8/15/2013,20:40:32,21.574043,-158.27623,50.67,252,278,0,8.2,1
8/15/2013,20:43:37,21.573278,-158.276505,124.9,0,7,0,89.69,1
8/15/2013,20:46:46,21.573944,-158.276306,57.06,3276,179,0,76.86,1
8/15/2013,20:49:53,21.574112,-158.276352,50.34,1980,169,0,19.28,1
8/15/2013,20:53:00,21.574219,-158.276199,21.65,3492,154,0,19.8,1
8/15/2013,20:56:08,21.574158,-158.276398,35.78,1260,178,0,21.67,1
8/15/2013,20:59:17,21.574154,-158.276337,34.06,36,288,0,6.32,1
8/15/2013,21:02:29,21.574076,-158.27623,47.57,540,167,0,14.06,1
8/15/2013,21:05:39,21.574186,-158.276352,39.56,0,43,0,17.57,1
8/15/2013,21:08:56,21.573997,-158.27623,43.34,0,7,0,24.51,1
8/15/2013,21:12:05,21.574192,-158.276245,31.81,2304,56,0,21.74,1
8/15/2013,21:15:16,21.574146,-158.276276,57.28,0,323,0,6.04,1
8/15/2013,21:18:38,21.574223,-158.276688,29.7,0,144,0,43.45,1
8/15/2013,21:21:49,21.574137,-158.276764,-22.56,0,10,0,12.38,1
8/15/2013,21:25:00,21.57415,-158.276749,-14.98,0,33,0,2.12,1
8/15/2013,21:28:12,21.574249,-158.276413,40.99,0,14,0,36.45,1
8/15/2013,21:31:39,21.574102,-158.276535,36.61,0,217,0,20.65,1
8/15/2013,21:35:10,21.574163,-158.276779,-1.05,0,180,0,26.13,1
8/15/2013,21:38:53,21.574371,-158.277283,-68.35,3528,270,0,57.02,1
8/15/2013,21:42:04,21.574289,-158.276901,-10.57,5976,105,0,40.54,1
8/15/2013,21:45:14,21.57419,-158.276855,5.39,1008,183,0,11.99,1
8/15/2013,21:48:24,21.574234,-158.276978,13.23,5004,285,0,13.63,1
8/15/2013,21:51:39,21.574125,-158.276428,30.82,0,161,0,58.15,1
8/15/2013,21:54:52,21.57416,-158.276642,8.72,0,122,0,22.47,1
8/15/2013,21:58:05,21.574171,-158.276718,20.5,4824,303,0,7.95,1
8/15/2013,22:01:21,21.57423,-158.276627,115.7,8784,285,0,11.47,1
8/15/2013,22:04:57,21.57338,-158.277481,155.11,4536,74,0,129.35,1
8/15/2013,22:09:05,21.573952,-158.276749,46.2,684,81,0,98.87,1
8/15/2013,22:12:05,21.574064,-158.276459,30.54,0,247,0,32.47,1
8/15/2013,22:15:08,21.574142,-158.27655,15,2556,105,0,12.8,1
8/15/2013,22:18:11,21.574022,-158.276199,52.95,3024,102,0,38.67,1
8/15/2013,22:21:13,21.574097,-158.276474,23.99,432,252,0,29.63,1
8/15/2013,22:24:15,21.574167,-158.27681,5.36,1152,73,0,35.61,1
8/15/2013,22:27:18,21.574089,-158.276443,32.18,540,63,0,38.93,1
8/15/2013,22:30:21,21.574158,-158.27684,13.43,1548,247,0,41.76,1
8/15/2013,22:33:24,21.574167,-158.276535,22.31,2628,105,0,31.55,1
8/15/2013,22:36:26,21.574095,-158.276489,29.86,3096,76,0,9.31,1
8/15/2013,22:39:28,21.573978,-158.276993,44.77,936,85,0,53.72,1
8/15/2013,22:42:32,21.57408,-158.276123,47.22,2988,257,0,90.67,1
8/15/2013,22:46:03,21.574051,-158.276321,33.28,288,109,0,20.73,1
8/15/2013,22:49:01,21.573828,-158.27597,154.61,576,307,0,43.96,1
8/15/2013,22:52:02,21.574123,-158.276337,15.27,936,279,0,50.16,1
8/15/2013,22:55:01,21.574152,-158.276413,27.17,0,127,0,8.49,1
8/15/2013,22:58:00,21.5746,-158.276535,-153.31,0,171,0,51.39,1
8/15/2013,23:01:03,21.574011,-158.276352,47.2,396,286,0,68.17,1
8/15/2013,23:04:07,21.574089,-158.276398,38.5,216,123,0,9.89,1
8/15/2013,23:07:14,21.57386,-158.276505,33.49,648,126,0,27.76,1
8/15/2013,23:10:21,21.573915,-158.276581,39.19,0,346,0,9.96,1
8/15/2013,23:13:27,21.573534,-158.275925,-6.23,0,332,0,79.98,1
8/15/2013,23:16:35,21.573881,-158.276413,47.13,1188,124,0,63.52,1
8/15/2013,23:19:46,21.573891,-158.276489,25.56,1404,137,0,7.94,1
8/15/2013,23:22:52,21.573885,-158.276489,7.85,3024,341,0,0.67,1
8/15/2013,23:26:01,21.57382,-158.276459,26.78,1476,102,0,7.87,1
8/15/2013,23:29:09,21.57386,-158.276474,23.26,0,338,0,4.71,1
8/15/2013,23:32:17,21.573782,-158.276398,27.71,0,149,0,11.7,1
8/15/2013,23:35:24,21.573542,-158.27623,-38.41,0,2,0,31.84,1
8/15/2013,23:38:31,21.573498,-158.276459,-104.8,1224,163,0,24.18,1
8/15/2013,23:41:39,21.573717,-158.276459,-19.96,0,130,0,24.35,1
8/15/2013,23:44:46,21.574013,-158.276413,28.6,1836,132,0,33.26,1
8/15/2013,23:47:54,21.57403,-158.276382,105.9,2232,231,0,3.72,1
8/15/2013,23:51:03,21.573776,-158.276367,-1.18,0,111,0,28.29,1
